DateTime,Active_Energy,arima_no_s_forecast,sarima_forecast,tbats_forecast,prohpet_forecast,prohpet_forecast2,tbats_forecast2
2010-05-20 00:00:00,360.85547,350.5630347053334,352.96292011791354,310.2028715002378,250.87724073792103,252.97741054289057,325.96110480078175
2010-05-20 01:00:00,320.55664,371.7133960483739,347.1113662881205,272.8694935175948,165.92351619819266,230.67567466074183,315.33377611210614
2010-05-20 02:00:00,301.40234,400.50750833890174,280.8414010525205,258.8201592134034,119.26838015894236,238.80444874856246,277.3981141525558
2010-05-20 03:00:00,298.54883,445.781760883701,287.5124526323575,252.08761945879422,95.63580490478961,177.4544656789368,267.8682661491531
2010-05-20 04:00:00,287.82617,469.91397869067475,293.90959651216025,249.1365677730242,123.4721251212244,138.47330084119977,273.03238128074776
2010-05-20 05:00:00,285.5879,497.8291349680042,285.3300639979675,245.77937870044377,227.05310873918427,241.52800577423443,268.6532657759906
2010-05-20 06:00:00,499.03125,502.35371921799043,408.31965670654597,404.27853629390944,372.2705838359639,426.82487608033557,514.5779594140795
2010-05-20 07:00:00,538.3906,513.8558627852027,574.8571055401001,602.1198402760104,473.1803343922851,508.88609902481454,769.1482964230454
2010-05-20 08:00:00,623.7422,507.0777361228684,439.8543963204482,426.2773482563405,461.7159300257395,414.32491748850623,490.20194731375426
2010-05-20 09:00:00,305.32422,512.1639520395181,439.91858827658416,335.5644741193678,352.83067115389196,268.8164366443232,329.1288932625321
2010-05-20 10:00:00,296.60352,502.70579710764684,398.5750132231708,332.8676234666875,235.9678643637697,222.7095972282443,314.20388641247797
2010-05-20 11:00:00,290.58594,507.4642673977702,380.5076985181149,340.32375665614734,195.43065450812844,269.57421246590025,307.424968400285
2010-05-20 12:00:00,297.26172,498.88016609408237,437.97466698661356,354.96304055314124,235.40272908970792,295.84969437312304,322.7554942982914
2010-05-20 13:00:00,308.44727,504.88365296705047,397.1012249946432,341.32701697344174,284.47883463927474,255.77535065640956,312.06423943878673
2010-05-20 14:00:00,563.4297,497.4602223098855,394.7628433480593,329.4030397654618,277.2717587219608,210.9937625144383,317.49759942307185
2010-05-20 15:00:00,327.9746,504.32059308672723,371.40072785849947,327.3019495656812,232.38927064707778,211.42949476398917,320.02853903896926
2010-05-20 16:00:00,337.66406,497.4331216691969,396.74464422999205,352.4517777258989,245.8233359386437,234.4794002487716,329.1219885043224
