DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Global_active_energy,Global_reactive_energy,Active_Energy
2006-12-17 00:00:00,1.8823364,0.102429196,240.96666,8.126497,0,28,0,1882.3359,102.42822,1854.3281
2006-12-17 01:00:00,3.3493693,0.13693441,240.44376,14.245947,0,1514,0,3349.3672,136.93164,1835.4277
2006-12-17 02:00:00,1.5871867,0.07822927,245.825,6.870003,0,34,0,1587.2715,78.22754,1553.2773
2006-12-17 03:00:00,1.6621928,0.07953135,244.50417,7.2061524,0,46,0,1662.1621,79.53125,1616.1504
2006-12-17 04:00:00,2.2157633,0.09346466,243.85834,9.33304,0,34,533,2215.8047,93.4624,1648.8145
2006-12-17 05:00:00,1.9967855,0.06023458,243.7125,8.566731,0,10,279,1996.8496,60.231934,1707.8496
2006-12-17 06:00:00,1.3032471,0.09483897,244.14583,5.5299153,0,43,0,1303.2461,94.83447,1260.248
2006-12-17 07:00:00,1.6200846,0.059795633,241.83958,6.8026857,0,10,0,1620.1953,59.799316,1610.1953
2006-12-17 08:00:00,1.8905193,0.11856588,241.31459,8.049674,0,45,0,1890.5586,118.56543,1845.541
2006-12-17 09:00:00,2.5490723,0.0792338,238.85834,10.97378,0,439,0,2549.1562,79.23096,2110.0898
2006-12-17 10:00:00,3.6290567,0.1945989,235.4375,15.532943,533,1341,969,3628.879,194.59521,786.0
2006-12-17 11:00:00,2.47098,0.20070393,236.92917,10.4945965,567,301,1031,2470.9844,200.6914,571.9863
2006-12-17 12:00:00,1.9157878,0.29404095,237.78125,8.136523,0,32,1039,1915.7344,294.03223,844.78906
2006-12-17 13:00:00,1.6608073,0.17153117,239.92084,6.9233723,0,3,1057,1660.7812,171.53027,600.8203
2006-12-17 14:00:00,2.0925782,0.25739643,244.04791,8.599349,0,20,1094,2092.6562,257.39062,978.53125
2006-12-17 15:00:00,2.985498,0.08859863,240.47292,12.425781,418,12,1062,2985.4375,88.60303,1493.4531
2006-12-17 16:00:00,3.3260741,0.09313456,236.78334,14.00638,515,4,1030,3326.1562,93.12891,1777.0156
2006-12-17 17:00:00,3.406836,0.16662699,234.2375,14.509375,0,28,1009,3406.8438,166.61963,2369.8438
2006-12-17 18:00:00,3.6971028,0.13506317,234.37917,15.75,0,0,1010,3697.0938,135.06104,2687.1562
2006-12-17 19:00:00,2.908431,0.26516724,233.19167,12.516537,0,31,1001,2908.4062,265.1582,1876.3906
2006-12-17 20:00:00,3.361556,0.27151236,236.425,14.276953,0,67,1027,3361.625,271.52686,2267.6406
2006-12-17 21:00:00,3.040625,0.26797485,239.10417,12.7161455,0,72,1050,3040.7188,267.97656,1918.6562
2006-12-17 22:00:00,1.5179769,0.23538004,242.19376,6.383789,0,25,150,1517.9688,235.39258,1343.0781
2006-12-17 23:00:00,0.4377238,0.22180074,245.73334,1.9965495,0,48,0,437.71484,221.79639,389.7168
2006-12-18 00:00:00,0.2763631,0.0990626,244.60208,1.2233723,0,2,0,276.35547,99.06201,274.35742
2006-12-18 01:00:00,0.31329143,0.15190226,243.525,1.4166666,0,35,0,313.30273,151.89648,278.30078
2006-12-18 02:00:00,0.28446046,0.109064735,246.89166,1.2569174,0,0,0,284.4707,109.052734,284.4707
2006-12-18 03:00:00,0.30992228,0.1477595,245.73334,1.3999674,0,34,0,309.89062,147.7417,275.9043
2006-12-18 04:00:00,1.0263041,0.07999674,245.5,4.176872,0,4,753,1026.3223,79.99414,269.32617
2006-12-18 05:00:00,0.29349977,0.12193451,245.25626,1.2934082,0,28,0,293.49023,121.92529,265.4922
2006-12-18 06:00:00,0.6099691,0.112897746,245.69792,2.5998862,0,5,0,609.9199,112.88965,604.9199
2006-12-18 07:00:00,2.4505208,0.15298666,240.96875,10.220606,5,27,678,2450.4844,152.97559,1740.5156
2006-12-18 08:00:00,2.0822427,0.073728435,237.88126,8.726107,748,2,1041,2082.2031,73.73047,291.23145
2006-12-18 09:00:00,1.6292969,0.08516693,237.41042,6.8164062,310,29,1036,1629.2969,85.17041,254.29688
2006-12-18 10:00:00,1.309554,0.052838136,239.07083,5.426823,0,0,1050,1309.625,52.83789,259.55273
2006-12-18 11:00:00,1.5618815,0.12733409,239.77916,6.469922,0,31,1056,1561.8438,127.339355,474.91406
2006-12-18 12:00:00,1.7560384,0.087291464,242.575,7.247461,0,0,1081,1756.0312,87.30469,675.0703
